Whetstone Charm III,7,Speed Sharpening 3,None
Bombardier Charm I,5,Bombardier 1,None
Bombardier Charm II,6,Bombardier 2,None
Bombardier Charm III,7,Bombardier 3,None
Mushroom Charm I,5,Mushroomancer 1,None
Mushroom Charm II,8,Mushroomancer 2,None
Blessing Charm I,3,Divine Blessing 1,None
Blessing Charm II,5,Divine Blessing 2,None
Blessing Charm III,7,Divine Blessing 3,None
Rally Charm I,3,Palico Rally 1,None
Rally Charm II,5,Palico Rally 2,None
Rally Charm III,7,Palico Rally 3,None
Botany Charm I,3,Botanist 1,None
Botany Charm II,5,Botanist 2,None
Botany Charm III,7,Botanist 3,None
Geology Charm I,3,Geologist 1,None
Geology Charm II,5,Geologist 2,None
Geology Charm III,7,Geologist 3,None
Mighty Charm I,7,Maximum Might 1,None
Mighty Charm II,8,Maximum Might 2,None
Slinger Charm I,3,Invalid Message 1,None
Slinger Charm II,5,Invalid Message 2,None
Slinger Charm III,7,Invalid Message 3,None
Stealth Charm I,3,Stealth 1,None
Stealth Charm II,6,Stealth 2,None
Stealth Charm III,7,Stealth 3,None
Impact Charm I,7,Flinch Free 1,None
Impact Charm II,8,Flinch Free 2,None
Smoke Charm I,3,Survival Expert 1,None
Smoke Charm II,5,Survival Expert 2,None
Smoke Charm III,7,Survival Expert 3,None
Mirewalker Charm I,3,Aquatic/Polar Mobility 1,None
Mirewalker Charm II,5,Aquatic/Polar Mobility 2,None
Mirewalker Charm III,6,Aquatic/Polar Mobility 3,None
Insect Charm I,3,Entomologist 1,None
Insect Charm II,5,Entomologist 2,None
Insect Charm III,6,Entomologist 3,None
Miasma Charm I,7,Effluvia Resistance 1,None
Miasma Charm II,7,Effluvia Resistance 2,None
Miasma Charm III,8,Effluvia Resistance 3,None
Intimidator Charm I,3,Intimidator 1,None
Intimidator Charm II,5,Intimidator 2,None
Intimidator Charm III,6,Intimidator 3,None
Awakening Charm I,5,Free Elem/Ammo Up 1,None
Awakening Charm II,7,Free Elem/Ammo Up 2,None
Handicraft Charm I,5,Handicraft 1,None
Handicraft Charm II,7,Handicraft 2,None
Handicraft Charm III,8,Handicraft 3,None
Grit Charm I,6,Heroics 1,None
Grit Charm II,7,Heroics 2,None
Maintenance Charm I,6,Tool Specialist 1,None
Maintenance Charm II,7,Tool Specialist 2,None
Maintenance Charm III,8,Tool Specialist 3,None
Heavy Artillery Charm I,3,Heavy Artillery 1,None
Heavy Artillery Charm II,5,Heavy Artillery 2,None
Light Eater''s Charm,3,Free Meal 1,None
Normal Shots Charm,7,Normal Shots 1,None
Penetration Charm,8,Piercing Shots 1,None
Dispersal Charm,8,Spread/Power Shots 1,None
Poison Coating Charm,8,Poison Functionality 1,None
Para Coating Charm,8,Para Functionality 1,None
Sleep Coating Charm,8,Sleep Functionality 1,None
Blast Coating Charm,8,Blast Functionality 1,None
Fortification Charm,3,Fortify 1,None
Performer''s Charm,3,Horn Maestro 1,None
Capacity Charm,3,Capacity Boost 1,None
Mud Puppy Charm,5,Muck Resistance 1,Leap of Faith 1
Trickshot Charm,5,Dungmaster 1,Blindsider 1
Hunter''s Life Charm,5,BBQ Master 1,Master Fisher 1
Procurer''s Charm,5,Pro Transporter 1,Honey Hunter 1
Gatherer''s Charm,5,Master Gatherer 1,Carving Pro 1
Clearmind Charm,7,Heat Guard 1,Effluvial Expert 1
Rider''s Charm,7,Master Mounter 1,Jump Master 1
Surveyor''s Charm,7,Scoutfly Range Up 1,Scholar 1
Tracker Charm,3,Scenthound 1,None
Geomancy Charm,8,Forager''s Luck 1,Detector 1
Gale Charm,8,Affinity Sliding 1,Airborne 1
Wyrmslayer Charm,8,Elderseal Boost 1,Dragon Attack 1
Bulwark Charm,8,Guard Up 1,Resuscitate 1
Fitness Charm III,7,Constitution 3,None
Attack Charm IV,11,Attack Boost 4,None
Defense Charm IV,9,Defense Boost 4,None
Defense Charm V,11,Defense Boost 5,None
Windproof Charm IV,11,Windproof 4,None
Blaze Charm IV,10,Fire Attack 4,None
Blaze Charm V,11,Fire Attack 5,None
Flood Charm IV,10,Water Attack 4,None
Flood Charm V,11,Water Attack 5,None
Shock Charm IV,10,Thunder Attack 4,None
Shock Charm V,11,Thunder Attack 5,None
Ironside Charm IV,11,Guard 4,None
Ironside Charm V,12,Guard 5,None
Friendship Charm IV,11,Wide-Range 4,None
Friendship Charm V,12,Wide-Range 5,None
Rally Charm IV,9,Palico Rally 4,None
Rally Charm V,10,Palico Rally 5,None
Botany Charm IV,9,Botanist 4,None
Frost Charm IV,11,Ice Attack 4,None
Frost Charm V,12,Ice Attack 5,None
Master''s Charm IV,11,Critical Eye 4,None
Evasion Charm IV,12,Evade Window 4,None
Wyrmsbane Charm IV,11,Dragon Attack 4,None
Wyrmsbane Charm V,12,Dragon Attack 5,None
Marathon Charm III,12,Marathon Runner 3,None
Fitness Charm IV,11,Constitution 4,None
Surge Charm III,12,Stamina Surge 3,None
Leaping Charm III,12,Evade Extender 3,None
Mushroom Charm III,11,Mushroomancer 3,None
Awakening Charm III,12,Free Elem/Ammo Up 3,None
Handicraft Charm IV,12,Handicraft 4,None
Earplugs Charm IV,12,Earplugs 4,None
Tremor Charm III,12,Tremor Resistance 3,None
Focus Charm III,12,Focus 3,None
Breaker Charm III,11,Partbreaker 3,None
Fury Charm III,11,Resentment 3,None
Fury Charm IV,12,Resentment 4,None
Grit Charm III,11,Heroics 3,None
Grit Charm IV,12,Heroics 4,None
Power Charm III,11,Latent Power 3,None
Power Charm IV,12,Latent Power 4,None
Challenger Charm III,11,Agitator 3,None
Challenger Charm IV,12,Agitator 4,None
Impact Charm III,11,Flinch Free 3,None
Critical Charm II,12,Critical Boost 2,None
Invigorate Charm III,11,Power Prolonger 3,None
Phoenix Charm I,11,Coalescence 1,None
Phoenix Charm II,12,Coalescence 2,None
Guardian Charm I,9,Offensive Guard 1,None
Guardian Charm II,10,Offensive Guard 2,None
Guardian Charm III,12,Offensive Guard 3,None
Adamantine Charm,11,Non-elemental Boost 1,Bludgeoner 1
Razor Sharp Charm,11,Razor Sharp/Spare Shot 1,None
Sealer''s Charm,11,Elderseal Boost 1,Adrenaline 1
Gutsy Charm,11,Guts 1,None
Venom Charm IV,11,Poison Attack 4,None
Immobilize Charm IV,11,Paralysis Attack 4,None
Tranq Charm IV,11,Sleep Attack 4,None
Demolition Charm IV,11,Blast Attack 4,None
Normal Shots Charm II,11,Normal Shots 2,None
Penetration Charm II,11,Piercing Shots 2,None
Dispersal Charm II,11,Spread/Power Shots 2,None
Performer''s Charm II,9,Horn Maestro 2,None
